"Metric","Value"
"Total Revenue","₹43.90M"
"Lead Conversion","11%"
"Avg Performance","45%"
"Projects On Track","45%"
"Total Leads","47"
"Pending Tasks","11"
"Completed Tasks","9"
"Followups Today","4"

"Lead Name","Company","Status","Budget","Source","Assigned To"
"visvesvaran","mobi tech","Converted","100000","website","6a8e9f970e714400b9077e70"
"john","info","in progress","10000","sdfgh","6a916e2d3d8c06b1e084c4e7"
"ruve","asdfghjk","New","50000","asdfghjkluytredcvb","6a8d34540b74248719058e90"
"Leo","Innvotech","in progress","-","-","yJaIGTi3EDbcJKmfyvl3CpV29uI2"
"roshan","pearls","pending","50000","asdfghjkluytredcvb","7KsD55gd0FNZOYAnDuYnqdHMxPp1"
"tharun","-","New","85000","tharun.com","-"
"kishore","-","New","-","-","-"
"Pavithra","-","New","-","-","-"
"-","-","New","-","-","-"
"Adhi","AquainfoTech","Converted","500000","indeed","LNcFHaGpEjOFFyav5qLQ42qZWyf2"
"Dharshini","Car InfoTech","New","15000","referal","LNcFHaGpEjOFFyav5qLQ42qZWyf2"
"Sugapriya","CDR","New","5000000","referal","LNcFHaGpEjOFFyav5qLQ42qZWyf2"
"Muthu","jana finance","New","-","-","-"
"Ragavi M","Pearlsithub","New","-","-","-"
"Naveen","Car InfoTech","New","50000","indeed","LNcFHaGpEjOFFyav5qLQ42qZWyf2"
"DhanaLakshmi","DhanamTailoring","New","50000","indeed","LNcFHaGpEjOFFyav5qLQ42qZWyf2"
"john","Car InfoTech","New","5000000","referel","LNcFHaGpEjOFFyav5qLQ42qZWyf2"
"Dhanapal","CrabInfoTech","New","50000","indeed","Deepan"
"Jawahar","CDR Company","New","15000","indeed","Deepan"
"Ashok","Chola","converted","4000","referal","Deepan"
"LIlly","Car InfoTech","converted","2500","referal","Developer"
"Indra","chennai","converted","700000","indeed","jeeva"
"Dharshini","govatech","New","5000000","referal","Deepan"
"Meenakshi","sideInfotech","New","15000","referel","deepan"
"-","Car InfoTech","New","5000000","indeed","-"
"-","-","New","-","-","-"
"-","-","New","-","-","-"
"-","-","New","-","-","-"
"-","-","New","-","-","-"
"-","Star Health","New","150000","indeed","harshini"
"-","Pearls","New","700000","referal","deepan"
"-","Pearls","New","700000","referal","deepan"
"-","Bank","New","100000","referal","deepan"
"-","Pearls","New","5000000","referal","vishnu"
"-","Pearls","New","5000000","referal","vishnu"
"-","Accenture","New","5000000","referel","deepan"
"-","Chola Finance Service","New","5000000","referel","Ragavi"
"-","innovatech","interested","50000","referal","deepan"
"-","innovatech","interested","-","referal","deepan"
"-","Car InfoTech","New","-","referal","deepan"
"-","Pearls","New","500000","indeed","-"
"-","Pearlsithub","New","-","-","-"
"-","Pearlsithub","New","-","-","-"
"-","Pearlsithub","New","-","-","-"
"-","Prethu foods","New","-","-","-"
"-","dsaf","Contacted","-","-","-"
"-","234132","New","-","-","-"
